Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Price,Image Src,SEO Title,SEO Description,Specs (product.metafields.custom.specs),Ingredients (product.metafields.custom.ingredients)
lumenlab-clarity-gel,Lumen Lab Clarity Oil-Control Gel Moisturiser,"<p>Hydration that knows when to stop. Clarity Oil-Control Gel Moisturiser gives skin exactly what it needs and nothing it doesn't — a finish that disappears, so the rest of your routine can get on with it.</p>",Lumen Lab,Health & Beauty > Personal Care > Cosmetics > Skin Care,Moisturiser,"moisturiser, lumen-lab, budget-price, oily, combination, fragrance-free, vegan",TRUE,Size,50ml,LUMENLABCLARIT,50,75,42.00,https://cdn.example.com/lumenlab-clarity-gel.jpg,Lumen Lab Clarity Oil-Control Gel Moisturiser | Skincare,Shop the Lumen Lab Clarity Oil-Control Gel Moisturiser. Free shipping over S$60.,,"Aqua, Glycerin, Niacinamide, Zinc Pca, Panthenol, Sodium Hyaluronate"
lumenlab-clarity-serum,Lumen Lab Clarity Niacinamide Serum,"<p>Concentrated, considered, and formulated without the theatre. Clarity Niacinamide Serum is the step that does the quiet work while everything else takes the credit.</p>",Lumen Lab,Health & Beauty > Personal Care > Cosmetics > Skin Care,Serum,"serum, lumen-lab, budget-price, oily, combination, normal, fragrance-free, vegan",TRUE,Size,30ml,LUMENLABCLARIT,30,0,38.00,https://cdn.example.com/lumenlab-clarity-serum.jpg,Lumen Lab Clarity Niacinamide Serum | Skincare,Shop the Lumen Lab Clarity Niacinamide Serum. Free shipping over S$60.,,"Aqua, Glycerin, Niacinamide, Zinc Pca, Panthenol, Sodium Hyaluronate"
lumenlab-dawn-spf50,Lumen Lab Dawn Fluid SPF50 PA++++,<p>The step you'll never skip again. Dawn Fluid SPF50 PA++++ sits invisibly under everything and stays put through your day.</p>,Lumen Lab,Health & Beauty > Personal Care > Cosmetics > Skin Care,Sunscreen,"sunscreen, lumen-lab, budget-price, oily, combination, normal, sensitive, fragrance-free, vegan, spf50",TRUE,Size,50ml,LUMENLABDAWNSP,50,90,46.00,https://cdn.example.com/lumenlab-dawn-spf50.jpg,Lumen Lab Dawn Fluid SPF50 PA++++ | Skincare,Shop the Lumen Lab Dawn Fluid SPF50 PA++++. Free shipping over S$60.,,"Aqua, Glycerin, Zinc Oxide, Panthenol, Sodium Hyaluronate"
lumenlab-reset-cleanser,Lumen Lab Reset Gel Cleanser,"<p>Start clean. Reset Gel Cleanser lifts the day off your skin without that stripped, squeaky feeling nobody actually enjoys.</p>",Lumen Lab,Health & Beauty > Personal Care > Cosmetics > Skin Care,Cleanser,"cleanser, lumen-lab, budget-price, oily, combination, normal, fragrance-free, vegan, refillable",TRUE,Size,150ml,LUMENLABRESETC,150,5,28.00,https://cdn.example.com/lumenlab-reset-cleanser.jpg,Lumen Lab Reset Gel Cleanser | Skincare,Shop the Lumen Lab Reset Gel Cleanser. Free shipping over S$60.,,"Aqua, Glycerin, Glycerin, Panthenol, Sodium Hyaluronate"
lumenlab-night-retinal,Lumen Lab Night Retinal 0.05%,<p>A focused step for skin that wants results. Night Retinal 0.05% is where your routine stops being maintenance and starts being intentional.</p>,Lumen Lab,Health & Beauty > Personal Care > Cosmetics > Skin Care,Treatment,"treatment, lumen-lab, budget-price, normal, combination, oily, fragrance-free, vegan",TRUE,Size,30ml,LUMENLABNIGHTR,30,60,68.00,https://cdn.example.com/lumenlab-night-retinal.jpg,Lumen Lab Night Retinal 0.05% | Skincare,Shop the Lumen Lab Night Retinal 0.05%. Free shipping over S$60.,,"Aqua, Glycerin, Retinal, Ceramide Np, Panthenol, Sodium Hyaluronate"
sable-barrier-balm,Sable & Co Barrier Repair Balm,"<p>Hydration that knows when to stop. Barrier Repair Balm gives skin exactly what it needs and nothing it doesn't — a finish that disappears, so the rest of your routine can get on with it.</p>",Sable & Co,Health & Beauty > Personal Care > Cosmetics > Skin Care,Moisturiser,"moisturiser, sable-co, budget-price, dry, sensitive, fragrance-free",TRUE,Size,50ml,SABLEBARRIERBA,50,90,54.00,https://cdn.example.com/sable-barrier-balm.jpg,Sable & Co Barrier Repair Balm | Skincare,Shop the Sable & Co Barrier Repair Balm. Free shipping over S$60.,,"Aqua, Glycerin, Ceramide Complex, Cholesterol, Squalane, Panthenol, Sodium Hyaluronate"
sable-calm-serum,Sable & Co Calm Centella Serum,"<p>Concentrated, considered, and formulated without the theatre. Calm Centella Serum is the step that does the quiet work while everything else takes the credit.</p>",Sable & Co,Health & Beauty > Personal Care > Cosmetics > Skin Care,Serum,"serum, sable-co, budget-price, sensitive, dry, normal, fragrance-free, vegan",TRUE,Size,30ml,SABLECALMSERUM,30,0,48.00,https://cdn.example.com/sable-calm-serum.jpg,Sable & Co Calm Centella Serum | Skincare,Shop the Sable & Co Calm Centella Serum. Free shipping over S$60.,,"Aqua, Glycerin, Centella Asiatica, Panthenol, Panthenol, Sodium Hyaluronate"
sable-cream-cleanser,Sable & Co Milk Cream Cleanser,"<p>Start clean. Milk Cream Cleanser lifts the day off your skin without that stripped, squeaky feeling nobody actually enjoys.</p>",Sable & Co,Health & Beauty > Personal Care > Cosmetics > Skin Care,Cleanser,"cleanser, sable-co, budget-price, dry, sensitive, fragrance-free",TRUE,Size,150ml,SABLECREAMCLEA,150,90,36.00,https://cdn.example.com/sable-cream-cleanser.jpg,Sable & Co Milk Cream Cleanser | Skincare,Shop the Sable & Co Milk Cream Cleanser. Free shipping over S$60.,,"Aqua, Glycerin, Oat Lipid, Glycerin, Panthenol, Sodium Hyaluronate"
sable-rich-night,Sable & Co Rich Overnight Cream,"<p>Hydration that knows when to stop. Rich Overnight Cream gives skin exactly what it needs and nothing it doesn't — a finish that disappears, so the rest of your routine can get on with it.</p>",Sable & Co,Health & Beauty > Personal Care > Cosmetics > Skin Care,Moisturiser,"moisturiser, sable-co, budget-price, dry, fragrance-free",TRUE,Size,50ml,SABLERICHNIGHT,50,90,62.00,https://cdn.example.com/sable-rich-night.jpg,Sable & Co Rich Overnight Cream | Skincare,Shop the Sable & Co Rich Overnight Cream. Free shipping over S$60.,,"Aqua, Glycerin, Shea Butter, Ceramide Np, Squalane, Panthenol, Sodium Hyaluronate"
clearfield-bha-toner,Clearfield Clarifying BHA 2% Toner,<p>A focused step for skin that wants results. Clarifying BHA 2% Toner is where your routine stops being maintenance and starts being intentional.</p>,Clearfield,Health & Beauty > Personal Care > Cosmetics > Skin Care,Treatment,"treatment, clearfield, budget-price, oily, combination, fragrance-free, vegan",TRUE,Size,100ml,CLEARFIELDBHAT,100,75,34.00,https://cdn.example.com/clearfield-bha-toner.jpg,Clearfield Clarifying BHA 2% Toner | Skincare,Shop the Clearfield Clarifying BHA 2% Toner. Free shipping over S$60.,,"Aqua, Glycerin, Salicylic Acid, Panthenol, Sodium Hyaluronate"
