Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Price,Image Src,SEO Title,SEO Description,Specs (product.metafields.custom.specs),Ingredients (product.metafields.custom.ingredients)
kestrel-drift-3,Kestrel Drift 3,"<p>Your everyday mile-eater. Drift 3 was built for the runs that don't make the highlight reel — the easy ones, the before-work ones, the ones that add up. Soft where it counts, honest everywhere else.</p>",Kestrel,Apparel & Accessories > Shoes,Running Shoes,"daily, road, kestrel, mid-price, breathable",TRUE,Size,US M9,KESTRELDRIFT3,258,60,179.00,https://cdn.example.com/kestrel-drift-3.jpg,Kestrel Drift 3 | Running Shoes,Shop the Kestrel Drift 3. Free returns.,Weight: 258g (US M9) | Heel-to-toe drop: 8mm | Stack height: 34mm | Surface: road | Support: neutral | Fit: standard | Closure: traditional lace | Upper: engineered mesh (high ventilation),
kestrel-drift-3-wide,Kestrel Drift 3 Wide,"<p>Your everyday mile-eater. Drift 3 Wide was built for the runs that don't make the highlight reel — the easy ones, the before-work ones, the ones that add up. Soft where it counts, honest everywhere else.</p>",Kestrel,Apparel & Accessories > Shoes,Running Shoes,"daily, road, kestrel, mid-price, breathable, wide-fit",TRUE,Size,US M9,KESTRELDRIFT3W,266,12,179.00,https://cdn.example.com/kestrel-drift-3-wide.jpg,Kestrel Drift 3 Wide | Running Shoes,Shop the Kestrel Drift 3 Wide. Free returns.,Weight: 266g (US M9) | Heel-to-toe drop: 8mm | Stack height: 34mm | Surface: road | Support: neutral | Fit: wide | Closure: traditional lace | Upper: engineered mesh (high ventilation),
kestrel-vapourline,Kestrel Vapourline Racer,"<p>This is the one you save for the start line. Vapourline Racer is stripped of everything that doesn't make you faster. When the gun goes off, you'll feel it.</p>",Kestrel,Apparel & Accessories > Shoes,Running Shoes,"race, road, kestrel, premium-price, breathable, carbon-plate",TRUE,Size,US M9,KESTRELVAPOURL,192,200,329.00,https://cdn.example.com/kestrel-vapourline.jpg,Kestrel Vapourline Racer | Running Shoes,Shop the Kestrel Vapourline Racer. Free returns.,Weight: 192g (US M9) | Heel-to-toe drop: 6mm | Stack height: 38mm | Surface: road | Support: neutral | Fit: narrow | Closure: traditional lace | Upper: engineered mesh (high ventilation),
kestrel-cloudstep-2,Kestrel Cloudstep 2,<p>The day after the long run has a shoe now. Cloudstep 2 wraps your feet in cushioning that takes the sting out of tired legs.</p>,Kestrel,Apparel & Accessories > Shoes,Running Shoes,"recovery, road, kestrel, mid-price",TRUE,Size,US M9,KESTRELCLOUDST,298,0,219.00,https://cdn.example.com/kestrel-cloudstep-2.jpg,Kestrel Cloudstep 2 | Running Shoes,Shop the Kestrel Cloudstep 2. Free returns.,298g / 10mm drop / road / lace-up,
meridian-atlas-stability,Meridian Atlas Stability,"<p>Steady underfoot, mile after mile. Atlas Stability keeps you tracking straight when form starts to fade, without the clunk you'd expect.</p>",Meridian,Apparel & Accessories > Shoes,Running Shoes,"stability, road, meridian, mid-price, wide-fit",TRUE,Size,US M9,MERIDIANATLASS,302,4,209.00,https://cdn.example.com/meridian-atlas-stability.jpg,Meridian Atlas Stability | Running Shoes,Shop the Meridian Atlas Stability. Free returns.,Weight: 302g (US M9) | Heel-to-toe drop: 10mm | Stack height: 36mm | Surface: road | Support: stability | Fit: wide | Closure: traditional lace | Upper: engineered mesh (standard ventilation),
meridian-atlas-gt,Meridian Atlas GT,"<p>Steady underfoot, mile after mile. Atlas GT keeps you tracking straight when form starts to fade, without the clunk you'd expect.</p>",Meridian,Apparel & Accessories > Shoes,Running Shoes,"stability, road, meridian, mid-price, breathable, nylon-plate",TRUE,Size,US M9,MERIDIANATLASG,288,90,239.00,https://cdn.example.com/meridian-atlas-gt.jpg,Meridian Atlas GT | Running Shoes,Shop the Meridian Atlas GT. Free returns.,Weight: 288g (US M9) | Heel-to-toe drop: 8mm | Stack height: 35mm | Surface: road | Support: stability | Fit: standard | Closure: traditional lace | Upper: engineered mesh (high ventilation),
meridian-fathom-mc,Meridian Fathom Motion Control,"<p>Steady underfoot, mile after mile. Fathom Motion Control keeps you tracking straight when form starts to fade, without the clunk you'd expect.</p>",Meridian,Apparel & Accessories > Shoes,Running Shoes,"stability, road, meridian, premium-price, wide-fit",TRUE,Size,US M9,MERIDIANFATHOM,336,4,249.00,https://cdn.example.com/meridian-fathom-mc.jpg,Meridian Fathom Motion Control | Running Shoes,Shop the Meridian Fathom Motion Control. Free returns.,336g / 12mm drop / road / lace-up,
northbound-ridgeline,Northbound Ridgeline Trail,<p>Off the pavement and into it. Ridgeline Trail bites into loose ground and keeps its composure when the trail turns technical.</p>,Northbound,Apparel & Accessories > Shoes,Running Shoes,"trail, trail, northbound, mid-price",TRUE,Size,US M9,NORTHBOUNDRIDG,312,60,229.00,https://cdn.example.com/northbound-ridgeline.jpg,Northbound Ridgeline Trail | Running Shoes,Shop the Northbound Ridgeline Trail. Free returns.,Weight: 312g (US M9) | Heel-to-toe drop: 6mm | Stack height: 32mm | Surface: trail | Support: neutral | Fit: standard | Closure: traditional lace | Upper: engineered mesh (standard ventilation),
northbound-ridgeline-gtx,Northbound Ridgeline GTX,<p>Off the pavement and into it. Ridgeline GTX bites into loose ground and keeps its composure when the trail turns technical.</p>,Northbound,Apparel & Accessories > Shoes,Running Shoes,"trail, trail, northbound, premium-price, waterproof",TRUE,Size,US M9,NORTHBOUNDRIDG,334,150,279.00,https://cdn.example.com/northbound-ridgeline-gtx.jpg,Northbound Ridgeline GTX | Running Shoes,Shop the Northbound Ridgeline GTX. Free returns.,Weight: 334g (US M9) | Heel-to-toe drop: 6mm | Stack height: 32mm | Surface: trail | Support: neutral | Fit: standard | Closure: traditional lace | Upper: engineered mesh (standard ventilation),
northbound-scree-lite,Northbound Scree Lite,<p>Off the pavement and into it. Scree Lite bites into loose ground and keeps its composure when the trail turns technical.</p>,Northbound,Apparel & Accessories > Shoes,Running Shoes,"trail, trail, northbound, mid-price, breathable",TRUE,Size,US M9,NORTHBOUNDSCRE,254,0,189.00,https://cdn.example.com/northbound-scree-lite.jpg,Northbound Scree Lite | Running Shoes,Shop the Northbound Scree Lite. Free returns.,254g / 4mm drop / trail / lace-up,
